"Video Gaming Licensed Applicants",
"License Name","d/b/a","Address","City","State","Zip","County","License Number","License Type","Status Date",
"BAILEY,ROBERT JACKSON ","","","","","","","180501590","Terminal Handler","08/02/2018",
"Baker,Amy Joann ","","","","","","","210501392","Terminal Handler","01/27/2022",
"Baker,James Edward ","","","","","","","220500429","Terminal Handler","03/10/2022",
"Baker,Linda  Jean ","","","","","","","120512710","Terminal Handler","02/21/2013",
"BAKER,PAUL DERRICK ","","","","","","","210503541","Terminal Handler","01/27/2022",
"BAKER,SEAN MICHAEL ","","","","","","","220503851","Terminal Handler","02/09/2023",
"BALA,MARIUS ALEX ","","","","","","","180504073","Terminal Handler","12/12/2018",
"BALDWIN,JEANETTE MARIE ","","","","","","","200502032","Terminal Handler","03/10/2021",
"Ball,Devante Lemont ","","","","","","","220501166","Terminal Handler","06/16/2022",
"BANCROFT,JARED DAMIEN ","","","","","","","190501034","Terminal Handler","04/18/2019",
"Bandyk,Bryan Colman ","","","","","","","120509994","Terminal Handler","01/24/2013",
"Bandyk,David John ","","","","","","","120504949","Terminal Handler","08/16/2012",
"BANKS,WENDELL KURTIS ","","","","","","","200502538","Terminal Handler","03/10/2021",
"BARCLAY,ROBERT JOHN ","","","","","","","180501585","Terminal Handler","05/24/2018",
"Barillier,David Eric ","","","","","","","210503212","Terminal Handler","01/27/2022",
"Barnes,Lawrence  ","","","","","","","120509785","Terminal Handler","10/18/2012",
"Barnhart,Timothy Frederick ","","","","","","","150501369","Terminal Handler","04/23/2015",
"Barr,Jakob Allen ","","","","","","","130501200","Terminal Handler","03/20/2013",
"Barr,Jordan Andrew ","","","","","","","160502180","Terminal Handler","07/20/2016",
"Barr,Joshua Eugene ","","","","","","","130505401","Terminal Handler","10/24/2013",
"BARRETT,MICHELLE LOUISE ","","","","","","","180503425","Terminal Handler","11/02/2018",
"Barrett,Stephanie Lee ","","","","","","","220500737","Terminal Handler","02/09/2023",
"BARRON,PATRICK JOSEPH ","","","","","","","220500278","Terminal Handler","03/10/2022",
